description,categorie,priorite,sentiment,reponse_template
Commande CMD-977038 retournée à l'expéditeur sans raison,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Absence de signature à la livraison pour COMP-880377,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Le transporteur a perdu mon colis VIRE-949662,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Le transporteur a perdu mon colis COMP-668955,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Je n'ai jamais reçu mon remboursement après retour,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Problème de suivi pour la commande VIRE-370607,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Commande CMD-496300 livrée chez le mauvais voisin,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Je n'ai jamais reçu mon remboursement après retour,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Le point relais a renvoyé mon colis FACT-256076,livraison,moyenne,negatif,"Bonjour, je comprends votre mécontentement. Je vais vérifier l'état de votre livraison et reviens vers vous rapidement. Cordialement"
Le colis CRED-021179 contient des articles manquants,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Mon colis VIRE-753864 n'est jamais arrivé après 11 jours,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Frais de livraison facturés mais service non rendu,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Le livreur n'a pas respecté le créneau horaire,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Frais de livraison facturés mais service non rendu,livraison,moyenne,negatif,"Bonjour, je comprends votre mécontentement. Je vais vérifier l'état de votre livraison et reviens vers vous rapidement. Cordialement"
Colis FACT-003527 endommagé à la réception,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Commande FACT-400062 retournée à l'expéditeur sans raison,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Absence de signature à la livraison pour CMD-515832,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Le livreur n'a pas respecté le créneau horaire,livraison,moyenne,negatif,"Bonjour, je comprends votre mécontentement. Je vais vérifier l'état de votre livraison et reviens vers vous rapidement. Cordialement"
Colis FACT-364439 endommagé à la réception,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Commande COMP-402114 livrée au mauvais endroit,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Mon colis FACT-785633 n'est jamais arrivé après 27 jours,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
